Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
F,Z10,Z10,BT,Z11,Long,Unforced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BS,Z9,In,,,,,,
F,Z9,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z6,In,,,,,,
F,Z6,Z5,BV,Z10,In,,,,,,
N,Z10,Z14,FT,Z16,In,,,,,,
F,Z16,Z4,BV,Z2,In,,,,,,
N,Z2,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z1,In,,,,,,
F,Z1,Z7,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z6,In,,,,,,
F,Z6,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z14,Wide,Forced,,Yes,Yes,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z2,In,,,,,,
N,Z2,Z11,FT,Z5,In,,,,,,
F,Z5,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z5,In,,,,,,
F,Z5,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z6,In,,,,,,
F,Z6,Z10,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z2,In,,,,,,
F,Z2,Z2,FV,,Net,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z7,In,,,,,,
N,Z7,Z8,BT,Z7,In,,,,,,
F,Z7,Z11,FS,,Net,Forced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
F,Z2,Z11,FT,Z2,In,,,,,,
N,Z2,Z7,BT,Z9,In,,,,,,
F,Z9,Z13,BT,,Net,Forced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,FT,Z7,Wide,Unforced,,Yes,Yes,,
F,,Z12,S,,Net,,,,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z10,In,,,,,,
F,Z10,Z14,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z12,Long,Unforced,,Yes,,,
F,,Z13,S,,Net,,,,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
F,Z9,Z9,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z9,In,,,,,,
F,Z9,Z14,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z1 ,Wide,Unforced,,Yes,Yes,,
N,,Z12,S,,Net,,,,,,
N,,Z12,S,Z2,In,,,,,,
R,Z2,Z12,BT,Z7,In,,,,,,
N,Z7,Z11,BL,Z10,In,,,,,,
R,Z10,Z10,BV,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z6,Wide,,,,,,
N,,Z13,S,Z6,In,,,,,,
F,Z6,Z10,BT,Z6,Wide,Unforced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
F,Z2,Z13,FT,Z8,In,,,,,,
N,Z8,Z11,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z2,In,,,,,,
F,Z2,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z10,In,,,,,,
F,Z10,Z13,BS,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
F,Z7,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z5,In,,,,,,
F,Z5,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BL,Z10,Wide,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z7,In,,,,,,
F,Z7,Z12,FT,Z8,In,,,,,,
