Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
F,Z7,Z11,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BS,Z16,In,,,,,,
N,Z16,Z3,BV,,Net,Unforced,,Yes,,,
F,,Z13,S,Z5,Let,,,,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z10,Wide,Unforced,,Yes,Yes,Yes,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
F,Z7,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FS,Z5,In,,,,,,
F,Z5,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BS,Z11,Long,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z7,In,,,,,,
N,Z7,Z11,BT,Z7,In,,,,,,
F,Z7,Z11,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z10,In,,,,,,
F,Z10,Z13,BS,Z7,In,,,,,,
N,Z7,Z11,BT,Z2,In,,,,,,
F,Z2,Z11,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z12,Long,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z2,In,,,,,,
N,Z2,Z12,FT,Z9,In,,,,,,
F,Z9,Z13,BT,Z7,In,,,,,,
N,Z7,Z11,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z13,Long,Unforced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
F,Z2,Z12,BT,Z8,In,,,,,,
N,Z8,Z11,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z10,Wide,Unforced,,Yes,Yes,,
F,,Z12,S,Z1,Wide,,,,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,FT,Z14,Long,Unforced,,Yes,,,
F,,Z13,S,,Net,,,,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FL,Z7,In,,,,,,
F,Z7,Z7,FT,Z3,In,,,,,,
N,Z3,Z12,BT,Z9,In,,,,,,
F,Z9,Z13,BT,Z7,In,,,,,,
N,Z7,Z11,FT,Z3,In,,,,,,
F,Z3,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BS,Z16,In,,,,,,
F,Z16,Z5,BV,Z10,In,,,,,,
N,Z10,Z14,FT,,Net,Forced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z9,In,,,,,,
F,Z9,Z9,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,Z9,In,,,,,,
F,Z9,Z10,FT,,Net,Unforced,,Yes,,,
F,,Z12,S,Z1,In,,,,,,
