Player,Ball lands,Ball hit from ,Stroke Type,Ball hit to ,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
DP,Z8,Z12,FT,Z8,In,,,,,,
F,Z8,Z11,FT,Z5,In,,,,,,
DP,Z5,Z13,BT,Z9,In,,,,,,
F,Z9,Z14,FT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z13,Long,Unforced,,Yes,,,
DP,,Z13,S,Z5,Net,Unforced,,,,,
DP,,Z13,S,Z5,IN,,,,,,
F,Z5,Z10,BS,Z4,In,,,,,,
DP,Z4,Z9,FT,Z9,IN,,,,,,
F,Z9,Z13,BS,Z10,In,,,,,,
DP,Z10,Z14,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z5,In,,,,,,
DP,Z5,Z10,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z15,In,,,,,,
DP,Z15,Z6,BO,Z6,In,,,,,,
F,Z6,Z14,BS,Z6,In,,,,,,
DP,Z6,Z6,BS,Z11,In,,,,,,
F,Z11,Z11,FT,Z7,In,,,,,,
DP,Z7,-,-,-,No HIt,Forced,,Yes,Yes,,
F,,Z12,S,Z3,Let,Unforced,,,,,
F,,Z12,S,Z3,IN,,,,,,
DP,Z3,Z8,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z2,In,,,,,,
DP,Z2,Z11,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z14,Long,,,,,,
F,,Z13,S,Z4,In,,,,,,
DP,Z4,Z12,FS,Z10,In,,,,,,
F,Z10,Z14,FT,Z9,In,,,,,,
DP,Z9,Z14,FT,Z4,In,,,,,,
F,Z4,Z10,FT,Z8,In,,,,,,
DP,Z8,Z11,FT,Z1 ,Net,Unforced,,Yes,,,
F,,Z12,S,Z3,Long,Unforced,,,,,
F,,Z12,S,Z2,In,,,,,,
DP,Z2,Z7,BT,Z9,IN,,,,,,
F,Z9,Z9,BS,Z5,In,,,,,,
DP,Z5,Z14,BT,Z10,In,,,,,,
F,Z10,Z14,BT,Z9,In,,,,,,
DP,Z9,Z14,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z10,In,,,,,,
DP,Z10,-,-,-,No HIt,Forced,,Yes,,,
F,,Z13,S,Z6,Net,Unforced,,,,,
F,,Z13,S,Z4,In,,,,,,
DP,Z4,Z9,FT,Z5,Net,Unforced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
DP,Z2,Z11,FT,Z8,Long,Forced,,Yes,Yes,,
DP,,Z12,S,Z1,In,,,,,,
F,Z1,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z13,S,Z4,In,,,,,,
F,Z4,Z13,FT,Z10,Wide,Unforced,,Yes,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z14,Long,Forced,,Yes,,,
DP,,Z13,S,Z4,Long,Unforced,,,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,FT,Z13,IN,,,,,,
DP,Z13,Z13,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z12,In,,,,,,
DP,Z12,Z12,FT,Z2,Net,Unforced,,Yes,,,
DP,,Z12,S,Z2,In,,,,,,
F,Z2,Z11,FT,Z13,Long,Unforced,,Yes,Yes,,
F,,Z12,S,Z1,Wide,Unforced,,,,,
F,,Z12,S,Z2,In,,,,,,
DP,Z2,Z11,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z10,In,,,,,,
DP,Z10,Z14,FT,Z10,In,,,,,,
F,Z10,Z13,BS,Z10,In,,,,,,
DP,Z10,Z10,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z10,In,,,,,,
DP,Z10,Z10,FT,Z4,In,,,,,,
F,Z4,Z14,BT,Z10,In,,,,,,
DP,Z10,Z10,FT,Z5,In,,,,,,
F,Z5,Z14,BT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z10,In,,,,,,
F,Z10,Z14,FT,Z9,In,,,,,,
DP,Z9,Z13,FT,Z8,IN,,,,,,
F,Z8,Z12,FT,Z9,In,,,,,,
DP,Z9,Z13,FT,Z5,IN,,,,,,
F,Z5,Z14,BS,Z5,In,,,,,,
DP,Z5,Z10,BS,Z10,In,,,,,,
F,Z10,Z14,BT,Z5,In,,,,,,
DP,Z5,-,-,-,No HIt,Forced,,Yes,,,
F,,Z13,S,Z5,Net,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z14,BT,Z9,IN,,,,,,
F,Z9,Z13,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z9,In,,,,,,
F,Z9,Z9,FS,Z6,In,,,,,,
DP,Z5,-,-,-,No Hit,Forced,,Yes,,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z12,BS,Z10,In,,,,,,
F,Z10,Z10,BT,Z14,In,,,,,,
DP,Z14,Z14,BT,Z10,In,,,,,,
F,Z10,Z14,FT,Z1,Net,Unforced,,Yes,,,
F,,Z13,S,Z5,Wide ,Unforced,,,,,
F,,Z13,S,Z5,Net,Unforced ,Yes,Yes,,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z12,BS,Z5,Net,Forced,,Yes,,,
F,,Z13,S,Z5,Net,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z10,BT,Z10,In,,,,,,
F,Z10,Z14,BS,Z7,In,,,,,,
DP,Z7,Z11,FT,Z2,In,,,,,,
F,Z2,Z7,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z16,In,,,,,,
F,Z16,Z16,BV,Z10,In,,,,,,
DP,Z10,Z14,BS,Z5,In,,,,,,
F,Z5,Z5,FO,Z2,In,,,,,,
DP,Z2,-,-,-,No Hit,Forced,,Yes,Yes,,
DP,,Z12,S,Z2,Net,Unforced,,,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z8,BS,Z5,In,,,,,,
DP,Z5,Z14,BL ,Z18,Wide,Unforced,,Yes,,,
DP,,Z13,S,Z4,In,,,,,,
F,Z4,Z13,FT,Z3,Net,Forced,,Yes,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z3,Net,Forced,,Yes,,,
DP,,Z13,S,Z4,In,,,,,,
F,Z4,Z13,FT,Z5,In,,,,,,
DP,Z5,Z14,BT,Z2,IN,,,,,,
F,Z2,Z8,FT,Z9,In,,,,,,
DP,Z9,Z13,BL ,Z19,In,,,,,,
F,Z19,Z3,FO,Z8,In,,,,,,
DP,Z8,Z12,FL,Z19,In,,,,,,
F,Z19,Z6,BO,Z5,In,,,,,,
DP,Z5,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z12,S,Z3,Long,Unforced,,,,,
DP,,Z12,S,Z2,Long,Unforced ,Yes,Yes,,,
DP,,Z13,S,Z5,Net,Unforced,,,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BS,Z10,In,,,,,,
DP,Z10,Z14,BT,Z9,IN,,,,,,
F,Z9,Z14,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z14,In,,,,,,
F,Z14,Z14,BT,Z10,In,,,,,,
DP,Z10,Z13,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z9,IN,,,,,,
F,Z9,Z14,BT,Z3,In,,,,,,
DP,Z3,Z12,FT,Z5,In,,,,,,
F,Z5,Z14,BT,Z3,In,,,,,,
DP,Z3,Z12,FT,Z12,In,,,,,,
F,Z12,Z12,FT,Z9,In,,,,,,
DP,Z9,Z13,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z2,Wide,Unforced,,Yes,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,-,-,-,No HIt,Forced,,Yes,,,
DP,,Z13,S,Z4,In,,,,,,
F,Z4,-,-,-,No Hit,Forced,,Yes,Yes,,
F,,Z12,S,Z1,Wide,Unforced,,,,,
F,,Z12,S,Z2,Long,Unforced,Yes,Yes,,,
F,,Z13,S,Z5,Net,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z10,BT,Z10,In,,,,,,
F,Z10,Z10,BS,Z8,In,,,,,,
DP,Z8,Z13,FT,Z10,In,,,,,,
F,Z10,Z14,BS,Z14,Long,Unforced,,Yes,,,
F,,Z12,S,Z1,Wide,Unforced,,,,,
F,,Z12,S,Z2,In,,,,,,
DP,Z2,Z11,BT,Z13,In,,,,,,
F,Z13,Z13,BL ,Z10,In,,,,,,
DP,Z10,Z14,BT,Z7,In,,,,,,
F,Z7,Z11,FT,Z7,In,,,,,,
DP,Z7,Z11,FT,Z3,Net,Unforced,,Yes,,,
F,,Z13,S,Z5,Net,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z10,BT,Z10,In,,,,,,
F,Z10,Z14,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z4,In,,,,,,
F,Z4,Z9,FT,Z10,In,,,,,,
DP,Z10,-,-,-,No Hit,Forced,,Yes,,,
F,,Z12,S,Z3,Wide,Unforced,,,,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z9,BS,Z3,In,,,,,,
F,Z3,Z3,FT,Z11,In,,,,,,
DP,Z11,Z11,FL,Z14,Long,Forced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
DP,Z4,Z13,FS,Z10,In,,,,,,
F,Z10,Z14,BS,Z7,In,,,,,,
DP,Z7,Z12,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z8,In,,,,,,
DP,Z8,Z11,FT,Z9,In,,,,,,
F,Z9,Z13,BT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z5,In,,,,,,
F,Z5,Z14,BT,Z5,In,,,,,,
DP,Z5,Z10,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z2,In,,,,,,
DP,Z2,-,-,-,No Hit,Forced,,Yes,Yes,,
DP,,Z12,S,Z3,Net,Unforced,,,,,
DP,,Z12,S,Z2,In,,,,,,
F,Z2,Z12,BS,Z8,In,,,,,,
DP,Z8,Z8,FT,Z7,In,,,,,,
F,Z7,Z11,BS,Z8,In,,,,,,
DP,Z8,Z7,FT,Z7,In,,,,,,
F,Z7,Z11,BS,Z8,In,,,,,,
DP,Z8,Z8,FT,Z12,Long,Unforced,,Yes,,,
DP,,Z13,S,Z4,Let,Unforced,,,,,
DP,,Z13,S,Z4,In,,,,,,
F,Z4,Z13,FT,Z9,In,,,,,,
DP,Z9,Z13,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z10,In,,,,,,
F,Z10,Z14,BS,Z10,In,,,,,,
DP,Z10,Z10,BT,Z10,In,,,,,,
F,Z10,Z14,BS,Z10,In,,,,,,
DP,Z10,Z14,BS,Z4,In,,,,,,
F,Z4,Z4,FV,Z5,In,,,,,,
DP,Z5,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z12,S,Z3,Long,Unforced,,,,,
DP,,Z12,S,Z2,In,,,,,,
F,Z2,Z11,FT,Z12,In,,,,,,
DP,Z12,Z12,FT,Z14,In,,,,,,
F,Z14,Z14,BS,Z9,In,,,,,,
DP,Z9,Z9,FT,Z7,Wide,Unforced,,Yes,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z4,In,,,,,,
DP,Z4,Z9,FT,Z11,In,,,,,,
F,Z11,Z11,BS,Z19,In,,,,,,
DP,Z19,Z5,FO,Z5,In,,,,,,
F,Z5,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BS,Z13,In,,,,,,
DP,Z13,Z13,FT,Z5,In,,,,,,
F,Z5,Z14,BS,Z6,In,,,,,,
DP,Z6,Z6,BT,Z7,In,,,,,,
F,Z7,Z11,FS,Z5,In,,,,,,
DP,Z5,Z6,FO,Z3,In,,,,,,
F,Z3,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z8,In,,,,,,
DP,Z8,Z12,FT,Z5,in,,,,,,
F,Z5,Z9,BS,Z1,In,,,,,,
DP,Z1,Z1,FT,Z10,In,,,,,,
F,Z10,-,-,-,No HIt,Forced,,Yes,,,
DP,,Z13,S,Z6,In,,,,,,
F,Z6,-,-,-,No Hit,Forced,,Yes,Yes,,
F,,Z12,S,Z2,Net,Unforced,,,,,
F,,Z12,S,Z2,Net,Unforced ,Yes,Yes,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z14,BS,Z3,Net,Forced,,Yes,,,
F,,Z12,S,Z1,In,,,,,,
DP,Z1,-,-,-,No Hit,Forced,,Yes,,,
F,,Z13,S,Z5,Net,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z10,FS,Z9,In,,,,,,
F,Z9,Z13,FT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z4,Net,Unforced,,Yes,,,
F,,Z12,S,Z1,In,,,,,,
DP,Z1,-,-,-,No Hit,Forced,,Yes,Yes ,Yes,
DP,,Z12,S,Z3,Wide,Unforced,,,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z9,In,,,,,,
DP,Z9,Z13,FT,Z5,In,,,,,,
F,Z5,Z14,BT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z13,Long,Unforced,,Yes,,,
DP,,Z13,S,Z5,Long,Unforced,,,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z7,In,,,,,,
F,Z7,Z12,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z13,In,,,,,,
F,Z13,Z13,FT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z7,Wide,Unforced,,Yes,,,
DP,,Z12,S,Z2,Wide,Unforced,,,,,
DP,,Z12,S,Z3,Long,Unforced,Yes,Yes,,,
DP,,Z13,S,Z5,Long,Unforced,,,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,FT,Z12,In,,,,,,
DP,Z12,Z12,FT,Z2,In,,,,,,
F,Z2,Z11,FT,Z7,In,,,,,,
DP,Z7,Z11,FT,Z13,In,,,,,,
F,Z13,Z13,BS,Z10,Wide,Unforced,,Yes,,,
DP,,Z12,S,Z3,Net,Unforced,,,,,
DP,,Z12,S,Z3,Net,Unforced,Yes,Yes,Yes,,
F,,Z12,S,Z2,Net,Unforced,,,,,
F,,Z12,S,Z2,In,,,,,,
DP,Z2,Z11,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z7,In,,,,,,
DP,Z7,Z11,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z10,In,,,,,,
DP,Z10,Z14,BT,Z5,In,,,,,,
F,Z5,Z10,BS,Z10,In,,,,,,
DP,Z10,Z14,BT,Z3,In,,,,,,
F,Z3,Z3,FV,Z5,In,,,,,,
DP,Z5,Z10,BS,Z6,Net,Unforced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z14,BT,Z5,In,,,,,,
F,Z5,Z10,BT,Z9,In,,,,,,
DP,Z9,Z14,BT,Z5,In,,,,,,
F,Z5,Z14,BS,Z9,In,,,,,,
DP,Z9,Z13,FT,Z8,In,,,,,,
F,Z8,Z12,FT,Z8,In,,,,,,
DP,Z8,Z11,FT,Z14,In,,,,,,
F,Z14,Z14,BS,Z8,In,,,,,,
DP,Z8,Z12,FT,Z2,Wide,Unforced,,Yes,,,
F,,Z12,S,Z1,In,,,,,,
DP,Z1,Z11,FS,Z6,In,,,,,,
F,Z6,Z5,BS,Z7,In,,,,,,
DP,Z7,-,-,-,No HIt,Forced,,Yes,,,
F,,Z13,S,Z4,Net,Unforced,,,,,
F,,Z13,S,Z5,Net,Unforced ,Yes,Yes,,,
F,,Z12,S,Z3,In,,,,,,
