"","Player","Server","Stroke.Type","Opp.Stroke.Type","Ball.hit.to.lag4","Ball.hit.to.lag3","Ball.hit.to.lag2","Ball.lands","Ball.hit.from","Ball.hit.to","In.out","id","rally_num"
"94","F","1","BT","FT","Z5","Z5","Z5","Z4","Z5","Z5","In",161,29
"95","DP","0","FT","BT","Z5","Z5","Z4","Z5","Z5","Z5","In",162,29
"96","F","1","BT","FT","Z5","Z4","Z5","Z5","Z5","Z5","In",163,29
"97","DP","0","BT","BT","Z4","Z5","Z5","Z5","Z5","Z5","In",164,29
"98","F","1","FT","BT","Z5","Z5","Z5","Z5","Z5","Z4","In",165,29
"99","DP","0","FT","FT","Z5","Z5","Z5","Z4","Z4","Z3","In",166,29
"100","F","1","FT","FT","Z5","Z5","Z4","Z3","Z3","Z4","In",167,29
"101","DP","0","FT","FT","Z5","Z4","Z3","Z4","Z4","Z5","In",168,29
"102","F","1","BS","FT","Z4","Z3","Z4","Z5","Z5","Z5","In",169,29
"103","DP","0","BS","BS","Z3","Z4","Z5","Z5","Z5","Z5","In",170,29
"104","F","1","BT","BS","Z4","Z5","Z5","Z5","Z5","Z5","In",171,29
"105","F","1","FT","BT",NA,NA,"Z5","Z4","Z4","Z5","In",174,30
"106","DP","0","BT","FT",NA,"Z5","Z4","Z5","Z5","Z4","In",175,30
"107","F","1","FS","BT","Z5","Z4","Z5","Z4","Z4","Z6","In",176,30
"108","F","1","BT","BS",NA,NA,"Z3","Z5","Z5","Z5","In",179,31
"109","DP","0","BT","BT",NA,"Z3","Z5","Z5","Z5","Z5","In",180,31
"110","F","1","BS","BT",NA,NA,"Z5","Z5","Z5","Z2","In",186,33
"111","DP","0","FT","BS",NA,"Z5","Z5","Z2","Z2","Z2","In",187,33
"112","F","1","FT","FT","Z5","Z5","Z2","Z2","Z2","Z5","In",188,33
"113","F","1","BV","BT","Z2","Z2","Z5","AT_NET","AT_NET","Z5","In",190,33
"114","DP","0","BS","BV","Z2","Z5","AT_NET","Z5","Z5","Z5","In",191,33
"115","F","1","FO","BS","Z5","AT_NET","Z5","Z5","Z5","Z2","In",192,33
"116","DP","1","BL","BS",NA,NA,"Z3","Z5","Z5","Z1","Wide",195,34
"117","DP","1","BT","FT",NA,NA,"Z4","Z5","Z5","Z2","In",202,37
"118","F","0","FT","BT",NA,"Z4","Z5","Z2","Z3","Z4","In",203,37
"119","F","0","FO","BL","Z5","Z2","Z4","AT_NET","Z3","Z3","In",205,37
"120","F","0","BO","FL","Z4","AT_NET","Z3","AT_NET","Z6","Z5","In",207,37
"121","DP","1","BT","BS",NA,NA,"Z5","Z5","Z5","Z4","In",210,38
"122","F","0","FT","BT",NA,"Z5","Z5","Z4","Z5","Z5","In",211,38
"123","DP","1","BT","FT","Z5","Z5","Z4","Z5","Z5","Z5","In",212,38
"124","F","0","BT","BT","Z5","Z4","Z5","Z5","Z5","Z5","In",213,38
"125","DP","1","FT","BT","Z4","Z5","Z5","Z5","Z4","Z5","In",214,38
"126","F","0","BT","FT","Z5","Z5","Z5","Z5","Z5","Z3","In",215,38
"127","DP","1","FT","BT","Z5","Z5","Z5","Z3","Z3","Z4","In",216,38
"128","F","0","BT","FT","Z5","Z5","Z3","Z4","Z5","Z3","In",217,38
"129","DP","1","FT","BT","Z5","Z3","Z4","Z3","Z3","Z5","In",218,38
"130","F","0","BT","FT","Z3","Z4","Z3","Z5","Z5","Z3","In",219,38
"131","DP","1","FT","BT","Z4","Z3","Z5","Z3","Z3","Z3","In",220,38
"132","F","0","FT","FT","Z3","Z5","Z3","Z3","Z3","Z4","In",221,38
"133","DP","1","FT","FT","Z5","Z3","Z3","Z4","Z4","Z4","In",222,38
"134","F","0","FT","FT","Z3","Z3","Z4","Z4","Z4","Z2","Wide",223,38
"135","F","1","BS","BT",NA,NA,"Z5","Z5","Z5","Z3","In",226,39
"136","DP","0","FT","BS",NA,"Z5","Z5","Z3","Z4","Z5","In",227,39
"137","F","1","BS","FT","Z5","Z5","Z3","Z5","Z5","Z5","Long",228,39
"138","F","1","BL","BT",NA,NA,"Z2","Z4","Z4","Z5","In",231,40
"139","DP","0","BT","BL",NA,"Z2","Z4","Z5","Z5","Z2","In",232,40
"140","F","1","FT","BT","Z2","Z4","Z5","Z2","Z2","Z2","In",233,40
"141","F","1","FT","BT",NA,NA,"Z5","Z5","Z5","Z5","In",237,41
"142","DP","0","BT","FT",NA,"Z5","Z5","Z5","Z5","Z4","In",238,41
"143","F","1","FT","BT","Z5","Z5","Z5","Z4","Z4","Z5","In",239,41
"144","F","1","FT","BS",NA,NA,"Z3","Z3","Z3","Z2","In",242,42
"145","DP","0","FL","FT",NA,"Z3","Z3","Z2","Z2","Z5","Long",243,42
"146","F","1","BS","FS",NA,NA,"Z4","Z5","Z5","Z2","In",246,43
